Application_Id,Parent_Application_Id,Process_Id,Payment_Status,Objection_Status,Manufactrer_Id,Created_On,Is_Service_Completed,Request_Id_Fk,Is_Service_Submitted,Application_To_Be_Received_By,Payment_Remarks,Payment_Status_Date,Payment_Status_By,Is_Payment_Required,Application_Status,Application_Status_Updated_By,Application_Status_Updated_On,Is_Output_Generated,Output_Generated_On,Output_File_Name,Output_BlobFileReference,Output_ContainerName,Amount,Is_District_Level,LicenseType,RejectionRemarks,EsewaApplication_Id,FinalOutput_FileName,FinalOutput_BlobReference,Is_data_MOved,Deleted_Esewa_Application_Id,ReceiptNo,PaymentAmount,PaymentDate,PaymentBy,date_difference
2,533,29,2,NULL,13452,16:02.5,1,NULL,Submitted,1848680,NULL,21:31.9,13452,Yes,Approved,00:00.0,22:47.4,00:00.0,24:53.9,Final_Certificate_2a87d4ec.jpg,2020/september/20200901/1848680_6bfdb7a4_1cdc_45ed_8489_88673fa4d608_dt_01092020_0502_36_901,agricultercontainer,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
3,6820,33,2,NULL,13450,39:16.0,1,NULL,Submitted,1847563,NULL,NULL,NULL,Yes,Approved,00:00.0,48:55.2,00:00.0,51:45.5,Final_Certificate_4b523a5d.pdf,2020/september/20200902/1847563_8e4d9c15_f16a_4ef6_a3f2_14809693cd30_dt_02092020_0729_31_622,agricultercontainer,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
6,533,27,2,NULL,13452,38:33.8,1,NULL,Submitted,1848680,NULL,44:23.5,13452,Yes,Approved,00:00.0,45:18.1,00:00.0,47:48.2,Final_Certificate_6b21e87e.jpg,2020/september/20200902/1848680_c9eac90f_43c7_4dbe_8c8d_5491213b2248_dt_02092020_0625_30_190,agricultercontainer,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
7,6820,28,2,NULL,13450,40:54.2,1,NULL,Submitted,1847589,NULL,02:24.0,13450,Yes,Approved,00:00.0,06:00.2,00:00.0,10:58.5,Final_Certificate_03d446f2.pdf,2020/september/20200903/1847589_77c8a9ed_f134_449d_979f_9ad4038974be_dt_03092020_0448_47_296,agricultercontainer,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
8,534,29,1,NULL,13456,54:51.3,0,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Pending,00:00.0,17:24.6,NULL,NULL,NULL,NULL,NULL,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,535,29,9,NULL,13460,35:51.5,0,NULL,Submitted,1848680,NULL,28:18.9,13460,Yes,Pending,00:00.0,37:04.3,NULL,NULL,NULL,NULL,NULL,5000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,542,29,NULL,NULL,13576,40:22.9,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,41:37.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,90,27,NULL,NULL,463,41:43.6,1,NULL,Submitted,1848680,NULL,NULL,NULL,Yes,Rejected,00:00.0,09:43.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,543,29,1,NULL,13450,57:28.1,1,NULL,Submitted,1848680,NULL,20:25.3,13450,Yes,Approved,00:00.0,49:21.3,00:00.0,49:45.5,Timelines - Fertilizer_page-0001_2e591307.jpg,2020/september/20200908/1848680_7b2c86ba_2de1_49ac_b845_5b6b5d514e1e_dt_08092020_1127_05_441,agricultercontainer,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
13,7053,35,NULL,NULL,13450,01:46.9,0,NULL,Draft,2050575,NULL,NULL,NULL,Yes,Pending,NULL,50:38.2,NULL,NULL,NULL,NULL,NULL,NULL,1,2, Incomplete Information,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
